,ChapterNum,ChapterName,Question,Answer
0,1,Super Senses,"1.How did the ant know that the other ants were not from its group?
"," Ants and other animals also have different senses. They can see, hear, smell and feel. Due to different senses the ant could know that other ants were not from its group."
1,1,Super Senses,"2.How did the guard ant recognise this ant?
", The guard ant could recognise this ant because of smell.
2,1,Super Senses,"Try This and Write
Drop some sugar, jaggery or anything sweet on the ground. Wait until the ants come there.
 1.How long did it take for the ants to come?
", It took about 15-20 minutes for ants to come.
3,1,Super Senses,"2.Did one ant come first or a group of ants came together?
"," One ant came first, followed by a group of ants."
4,1,Super Senses,"3.What did the ants do with the food?
", The ants carried the food to their hole.
5,1,Super Senses,"4.Where do they go from there?
", They go to their hole from there.
6,1,Super Senses,"5.Do they move in a line?
"," Yes, they move in a line.
Now carefully, without harming the ants, block their path for a while with a pencil."
7,1,Super Senses,"6.Now, observe, how do the ants move?
", Ants climb up on the pencil. They still move in a line.
8,1,Super Senses,"7.Now can you guess why the ants behaved like that when you blocked their path?
"," As the ant moves, it leaves a smell on the ground. The other ants follow this smell to find the way. Thus, when their path was blocked, ants tried to maintain their path by following the smell."
9,1,Super Senses,"8.Have you ever been troubled by mosquitoes? Just think, how do they know where you are?
",Mosquitoes can recognise the smell of our body. They can also recognise us by the heat from our body.
10,1,Super Senses,"9.Have you seen a dog sniffing here and there? What do you think it is trying to smell?
","Yes, I have seen a dog sniffing here and there. A dog can make out the presence of another dog in the area by smelling its urine or faeces. The dog usually smells to find out if a new dog has come in the area."
11,1,Super Senses,"Write
1. In what ways do human beings make use of this special sense of smell of dogs?
 "," This special sense of smell of dogs is used by humans in many ways. Some examples are as follows:
(a) For catching criminals.
(b) For detecting stolen goods.
(c) For detecting bombs."
12,1,Super Senses,"3. Write the names of five things whose smell you like and five things whose smell you do not like.
","
"
13,1,Super Senses,"4.Do you and your friends have similar answers?
"," Yes, our answers are similar."
14,1,Super Senses,"Do and Find Out
1. From the smell of the clothes of your family members, can you say whom do they belong to? Try to recognise the clothes of any two members of your family in this way.
"," Yes, I can recognise the clothes of my family members by their smell. I could recognise the clothes of my mother and father."
15,1,Super Senses,"Think and Discuss
1. Sushila covered her nose when she cleaned Deepak’s nappy, but not when she cleaned her daughter. Why do you think she did this?
"," When we feel something is dirty, we find its smell bad. In case of Sushila, she thought Deepak’s nappy to be dirty. So, she had to cover her nose. When she was cleaning her daughter’s nappy she did not think of it being dirty."
16,1,Super Senses,"2.How do you feel when you walk near a heap of garbage? Think of the children who spend the whole day picking things from such garbage.
", I feel bad when I walk near a heap of garbage. Children who spend the whole day picking things from such garbage become used to the smell. Their minds do not get offended by the smell.
17,1,Super Senses,"3.Is a smell ‘good’ or ‘bad’ for everyone in the same way? Or does it depend on how each one feels about it?
", It depends on how the person thinks about a particular smell. But some smells can always be bad for most of the people.
18,1,Super Senses,"Let’s See
1. Write the name of a bijd which has eyes in front of its head (like in humans).
", Owl.
19,1,Super Senses,"2.Write the names of some birds which have eyes on either side of the head. What is the size of their eyes as compared to the size of their head?
"," Following birds have eyes on either side of the head:
Pigeons, crows, sparrows, eagles, etc.
Their eyes are very small as compared to the size of their head."
20,1,Super Senses,"Looking with One or Both Eyes
1.Could you see your friend’s action, without moving your neck?
"," I could not see my friend’s action, without moving my neck."
21,1,Super Senses,"2.Now try to look at your friend’s action with both your eyes open but without moving your neck.
", I! could see my friend’s action now.
22,1,Super Senses,"3. What was the difference on looking with one or both eyes?
", I can see a wider area with both eyes as compared to with one eye. I can see better with my both eyes open.
23,1,Super Senses,"4.Now toss a small ball or a coin and try to catch it. Try this with both your eyes open. Then close one eye and try to catch it. When was it easier to catch?
",It was easier to catch the ball with both eyes open.
24,1,Super Senses,"5.Imagine how it would be to have your eyes in place of your ears? What would you be able to do then, which you cannot do now?
","If there were eyes on the sides of my head, I could see on my left and right without moving my neck.
Some birds, like kites, eagles, vultures can see four times as far as we can. These birds can see things from a distance of eight metres, what we can see from a distance of two metres."
25,1,Super Senses,"6.Now can you guess from what distance can an eagle in the sky see a roti on the ground?
",An eagle can see a roti on the ground from a distance of one and a half km to 2 km.
26,1,Super Senses,"Write
1.The names of ten animals whose ears can be seen.
"," Dog, cow, cat, buffalo, rabbit, elephant, lion, zebra, giraffe and mouse."
27,1,Super Senses,"2. The names of some animals whose ears are bigger than our ears.
"," Elephant, rabbit, cow, buffalo, dog, etc. have ears bigger than our ears."
28,1,Super Senses,"Think
1.Is there some link between the size of animals’ ears and their hearing?
", There is possibly a link between the size of animals’ ears and its hearing. Animals with bigger ears have better hearing than animals with smaller ears.
